level_code,tree_kind,depth,parent_content,content,sort_order
HSK1,task,1,,问答个人基本信息,1
HSK1,task,1,,问答事件信息,2
HSK1,task,1,,问答物品信息,3
HSK1,task,1,,问答天气,4
HSK1,task,1,,问答环境信息,5
HSK1,task,1,,日常言语交往,6
HSK1,task,1,,问答饮食喜好,7
HSK1,task,1,,问答出行信息,8
HSK1,task,1,,问答商品信息,9
HSK1,task,1,,告知生病、探病,10
HSK1,task,1,,交流休闲活动,11
HSK1,task,1,,介绍学习情况,12
HSK1,task,1,,交流学校情况、课后活动,13
HSK1,task,1,,交流工作信息,14
HSK1,task,1,,问答中国传统饮食,15
HSK1,topic,1,,基本信息,1
HSK1,topic,1,,日常生活,2
HSK1,topic,1,,教育情况,3
HSK1,topic,1,,职场生活,4
HSK1,topic,1,,文化与传统,5
HSK1,topic,2,基本信息,个人信息,1
HSK1,topic,2,日常生活,交往,1
HSK1,topic,2,教育情况,学习情况,1
HSK1,topic,2,职场生活,工作情况,1
HSK1,topic,2,文化与传统,饮食文化,1
HSK1,topic,2,基本信息,事件信息,2
HSK1,topic,2,教育情况,校园生活,2
HSK1,topic,2,职场生活,职业,2
HSK1,topic,2,日常生活,饮食,2
HSK1,topic,2,日常生活,交通出行,3
HSK1,topic,2,基本信息,物品信息,3
HSK1,topic,2,基本信息,环境信息,4
HSK1,topic,2,日常生活,购物,4
HSK1,topic,2,日常生活,医疗健康,5
HSK1,topic,2,日常生活,休闲,6
HSK1,grammar,1,,语素,1
HSK1,grammar,1,,词类,2
HSK1,grammar,1,,短语,3
HSK1,grammar,1,,句子成分,4
HSK1,grammar,1,,句子的类型,5
HSK1,grammar,1,,动作的态,6
HSK1,grammar,1,,特殊表达法,7
HSK1,grammar,2,句子成分,主语,1
HSK1,grammar,2,语素,前缀,1
HSK1,grammar,2,句子的类型,句型,1
HSK1,grammar,2,词类,名词,1
HSK1,grammar,2,特殊表达法,数的表达法,1
HSK1,grammar,2,短语,结构类型,1
HSK1,grammar,2,词类,动词,2
HSK1,grammar,2,句子的类型,句类,2
HSK1,grammar,2,语素,后缀,2
HSK1,grammar,2,特殊表达法,时间表示法,2
HSK1,grammar,2,句子成分,谓语,2
HSK1,grammar,2,词类,代词,3
HSK1,grammar,2,句子成分,宾语,3
HSK1,grammar,2,句子的类型,特殊句型,3
HSK1,grammar,2,句子的类型,复句,4
HSK1,grammar,2,句子成分,定语,4
HSK1,grammar,2,词类,数词,4
HSK1,grammar,2,句子成分,状语,5
HSK1,grammar,2,词类,量词,5
HSK1,grammar,2,词类,副词,6
HSK1,grammar,2,句子成分,补语,6
HSK1,grammar,2,词类,介词,7
HSK1,grammar,2,词类,连词,8
HSK1,grammar,2,词类,助词,9
HSK1,grammar,2,词类,叹词,10
HSK1,grammar,3,复句,不用关联词语的复句,1
HSK1,grammar,3,句型,单句,1
HSK1,grammar,3,量词,名量词,1
HSK1,grammar,3,结构类型,基本结构类型,1
HSK1,grammar,3,介词,引出时间、处所,1
HSK1,grammar,3,补语,数量补语1,1
HSK1,grammar,3,名词,方位名词,1
HSK1,grammar,3,特殊句型,“是”字句1,1
HSK1,grammar,3,代词,疑问代词,1
HSK1,grammar,3,副词,程度副词,1
HSK1,grammar,3,助词,结构助词,1
HSK1,grammar,3,动词,能愿动词,1
HSK1,grammar,3,连词,连接词语或短语,1
HSK1,grammar,3,句类,陈述句,1
HSK1,grammar,3,代词,人称代词,2
HSK1,grammar,3,结构类型,其他结构类型,2
HSK1,grammar,3,助词,动态助词,2
HSK1,grammar,3,复句,并列复句,2
HSK1,grammar,3,介词,引出对象,2
HSK1,grammar,3,量词,时量词,2
HSK1,grammar,3,特殊句型,“有”字句1,2
HSK1,grammar,3,句类,疑问句,2
HSK1,grammar,3,动词,离合词,2
HSK1,grammar,3,副词,范围副词,2
HSK1,grammar,3,特殊句型,存现句1,3
HSK1,grammar,3,代词,指示代词,3
HSK1,grammar,3,副词,时间副词,3
HSK1,grammar,3,句类,祈使句,3
HSK1,grammar,3,助词,语气助词,3
HSK1,grammar,3,句类,感叹句,4
HSK1,grammar,3,特殊句型,连动句1,4
HSK1,grammar,3,副词,频率副词,4
HSK1,grammar,3,副词,关联副词,5
HSK1,grammar,3,特殊句型,双宾语句1,5
HSK1,grammar,3,副词,否定副词,6
