level_code,level1_topic,level2_topic,topic_item
HSK7-9,个体与社会,人际交往,中国人际交往中的品行观念和评价
HSK7-9,个体与社会,人际交往,人际关系
HSK7-9,个体与社会,休闲娱乐,文化娱乐
HSK7-9,个体与社会,休闲娱乐,旅游度假
HSK7-9,个体与社会,休闲娱乐,购物休闲
HSK7-9,个体与社会,休闲娱乐,运动健身
HSK7-9,个体与社会,学业职业,专业学习
HSK7-9,个体与社会,学业职业,学业发展与生涯规划
HSK7-9,个体与社会,学业职业,职业发展
HSK7-9,个体与社会,建筑与社区,建筑与社区文化
HSK7-9,个体与社会,建筑与社区,建筑功能设计与建设
HSK7-9,个体与社会,建筑与社区,房屋买卖与租赁
HSK7-9,个体与社会,建筑与社区,社区空间、设施的规划与建设
HSK7-9,个体与社会,形象服饰,不同文化和场合符合礼仪的形象
HSK7-9,个体与社会,形象服饰,中式服装特点与审美
HSK7-9,个体与社会,形象服饰,服饰搭配与风格
HSK7-9,个体与社会,饮食餐饮,中国餐桌文化及含义
HSK7-9,个体与社会,饮食餐饮,具有代表性的中国饮食观念、烹饪方法
HSK7-9,个体与社会,饮食餐饮,各种餐饮形态的特点和代表品种
HSK7-9,个体与社会,饮食餐饮,多样化的地域饮食特色
HSK7-9,国家与社会,交通与运输,交通运输系统建设和影响
HSK7-9,国家与社会,交通与运输,各种运输方式的特点和发展趋势
HSK7-9,国家与社会,交通与运输,城市交通系统规划与发展
HSK7-9,国家与社会,人口与发展,人口发展
HSK7-9,国家与社会,人口与发展,人口流动与管理
HSK7-9,国家与社会,人口与发展,老龄化
HSK7-9,国家与社会,健康与医疗,中医和西医
HSK7-9,国家与社会,健康与医疗,医学技术创新与伦理
HSK7-9,国家与社会,健康与医疗,心理健康与心理治疗
HSK7-9,国家与社会,健康与医疗,疾病诊疗与公共卫生
HSK7-9,国家与社会,媒介与传播,媒介与信息传播
HSK7-9,国家与社会,媒介与传播,数字媒介素养
HSK7-9,国家与社会,媒介与传播,正式表达与非正式表达
HSK7-9,国家与社会,媒介与传播,知识共享与版权保护
HSK7-9,国家与社会,教育发展,教育政策
HSK7-9,国家与社会,教育发展,教育高质量发展
HSK7-9,国家与社会,教育发展,高等教育体制
HSK7-9,国家与社会,法制与治安,治安管理
HSK7-9,国家与社会,法制与治安,法制建设
HSK7-9,国家与社会,社会公共管理,公共基础设施建设
HSK7-9,国家与社会,社会公共管理,劳动就业
HSK7-9,国家与社会,社会公共管理,社会保障
HSK7-9,国家与社会,社会公共管理,社会公共组织
HSK7-9,国家与社会,社会公共管理,社会基层治理
HSK7-9,国家与社会,经济与生产,产业发展
HSK7-9,国家与社会,经济与生产,企业运营
HSK7-9,国家与社会,经济与生产,农、林、牧、渔业生产
HSK7-9,国家与社会,经济与生产,宏观经济
HSK7-9,国家与社会,经济与生产,工业生产
HSK7-9,国家与社会,经济与生产,金融服务贸易
HSK7-9,文化与传统,习俗礼俗,丧葬习俗
HSK7-9,文化与传统,习俗礼俗,农历岁时节令习俗
HSK7-9,文化与传统,习俗礼俗,婚嫁习俗
HSK7-9,文化与传统,习俗礼俗,生日习俗
HSK7-9,文化与传统,习俗礼俗,节庆习俗
HSK7-9,文化与传统,历史,中国历史发展基本脉络
HSK7-9,文化与传统,历史,中国重大历史事件和历史人物
HSK7-9,文化与传统,哲学思想,儒家主要思想、代表人物和影响
HSK7-9,文化与传统,哲学思想,道家主要思想、代表人物和影响
HSK7-9,文化与传统,文化遗产,中国重要的人类物质文化遗产及影响
HSK7-9,文化与传统,文化遗产,中国重要的人类非物质文化遗产及影响
HSK7-9,文化与传统,文化遗产,文化遗产保护、传承与发扬
HSK7-9,文化与传统,文学艺术,不同文学形式的特点和作品欣赏
HSK7-9,文化与传统,文学艺术,不同艺术形式的特点和作品欣赏
HSK7-9,文化与传统,文学艺术,中国传统文化意象及在不同文学艺术形式中的表现
HSK7-9,科学技术,信息科学技术,人工智能与机器学习
HSK7-9,科学技术,信息科学技术,大数据与数据分析
HSK7-9,科学技术,信息科学技术,网络通信技术
HSK7-9,科学技术,信息科学技术,计算机科学
HSK7-9,科学技术,其他新兴科学技术,先进材料与制造
HSK7-9,科学技术,其他新兴科学技术,可再生能源技术
HSK7-9,科学技术,生物科学技术,生物科技与农业
HSK7-9,科学技术,生物科学技术,生物科技与医疗
HSK7-9,科学技术,生物科学技术,生物科技与环保
HSK7-9,科学技术,航空航天科学技术,航天航空科技
HSK7-9,科学技术,航空航天科学技术,航空航天技术应用
HSK7-9,自然与环境,土地环境,土地资源保护与可持续发展
HSK7-9,自然与环境,土地环境,土地资源分布和利用
HSK7-9,自然与环境,地质环境,地形、地势、地貌特点
HSK7-9,自然与环境,地质环境,地形、地势对经济、人文活动的影响
HSK7-9,自然与环境,地质环境,地球构造
HSK7-9,自然与环境,地质环境,矿产资源
HSK7-9,自然与环境,大气环境,不同气候类型
HSK7-9,自然与环境,大气环境,大气监测
HSK7-9,自然与环境,大气环境,气候变化
HSK7-9,自然与环境,宇宙环境,人类的太空探索与发现
HSK7-9,自然与环境,宇宙环境,宇宙的结构与物质
HSK7-9,自然与环境,宇宙环境,宇宙的起源与演化
HSK7-9,自然与环境,水环境,水生态保护与可持续发展
HSK7-9,自然与环境,水环境,水资源分布和利用
HSK7-9,自然与环境,生物环境,生物资源保护与可持续发展
HSK7-9,自然与环境,生物环境,生物资源分布特点和利用
